,0
10000,biomass
10001,mixed
10004,mixed
10010,biomass
10011,mixed
10013,biomass
10014,mixed
10021,ccgt
10026,ccgt
10027,ccgt
10029,ccgt
10030,ccgt
10031,ccgt
10032,ccgt
10033,ccgt
10034,ccgt
10036,ccgt
10038,ccgt
10039,mixed
10040,ccgt
10042,ccgt
10043,ccgt
10044,mixed
10045,ccgt
10046,ccgt
10047,ccgt
10048,ccgt
10049,ccgt
10051,ccgt
10052,ccgt
10053,ccgt
10054,ccgt
10055,ccgt
10056,ccgt
10057,ccgt
10058,ccgt
10059,ccgt
10063,other
10065,ccgt
10066,ccgt
10067,ccgt
10068,ccgt
10070,ccgt
10087,ocgt
10091,ocgt
10097,ocgt
10101,ccgt
10104,ocgt
10107,npshyd
10108,npshyd
10109,npshyd
10110,npshyd
10115,npshyd
10116,npshyd
10117,npshyd
10118,npshyd
10119,npshyd
10120,npshyd
10122,npshyd
10123,npshyd
10125,npshyd
10128,nuclear
10130,nuclear
10131,nuclear
10133,nuclear
10134,nuclear
10136,nuclear
10138,nuclear
10143,ps
10144,ps
10145,ps
10146,ps
10147,wind
10148,wind
10149,wind
10150,wind
10151,wind
10152,wind
10153,wind
10154,wind
10155,wind
10156,wind
10157,wind
10158,wind
10159,wind
10160,wind
10161,wind
10162,wind
10163,wind
10166,wind
10167,wind
10169,wind
10171,wind
10172,wind
10173,wind
10174,wind
10175,wind
10176,wind
10177,wind
10178,wind
10179,wind
10180,wind
10181,wind
10183,wind
10184,wind
10185,wind
10186,wind
10187,wind
10188,wind
10189,wind
10190,wind
10191,wind
10192,wind
10193,wind
10194,wind
10195,wind
10196,wind
10197,wind
10199,wind
10200,wind
10201,wind
10202,wind
10204,wind
10206,wind
10208,wind
10209,wind
10210,wind
10211,wind
10212,wind
10213,wind
10214,wind
10215,wind
10216,wind
10217,wind
10218,wind
10219,wind
10220,wind
10221,wind
10222,wind
10223,wind
10224,wind
10225,wind
10226,wind
10227,wind
10229,wind
10231,wind
10232,wind
10233,wind
10234,wind
10235,wind
10237,wind
10238,wind
10239,wind
10240,wind
10242,wind
10243,wind
10244,wind
10246,wind
10248,wind
10250,wind
10252,wind
10284,wind
10288,wind
10289,wind
10290,wind
10291,wind
10292,wind
10294,wind
10295,wind
10296,wind
10297,wind
10298,wind
10299,wind
10300,wind
10301,wind
10302,wind
10303,wind
10304,wind
10305,wind
10306,wind
10307,wind
10308,wind
10309,wind
10310,wind
10311,wind
10000,biomass
10002,coal
10003,coal
10005,coal
10006,coal
10007,coal
10009,coal
10012,coal
10015,coal
10018,biomass
10050,mixed
10019,coal
10020,mixed
10082,oil
10022,ccgt
10024,ocgt
10088,recip
10089,recip
10028,ccgt
10060,ocgt
10061,ccgt
10064,ccgt
10037,ccgt
10139,nuclear
10071,ccgt
10141,coal
10083,diesel
10078,recip
10198,wind
